Module,Video Title,Navigation Flow,Priority,Description
Payments,How to view upcoming installments,Learner App > My Payments > Upcoming,Should-have,See what's due next and when.
Payments,How to set up auto-pay for installments,Learner App > My Payments > Auto-Pay,Nice-to-have,Schedule automatic payment of installments.
Profile,How to update your profile,Learner App > Profile > Edit,Must-have,Change your name / photo / details.
Profile,How to upload a profile picture,Learner App > Profile > Upload Photo,Must-have,Add a profile photo.
Profile,How to change your password,Learner App > Profile > Security > Change Password,Must-have,Update your account password.
Profile,How to enable two-factor authentication,Learner App > Profile > Security > 2FA,Should-have,Add an extra security step at login.
Profile,How to manage notification preferences,Learner App > Profile > Notifications,Should-have,Pick which alerts you want to receive.
Profile,How to enable privacy screen on mobile,Learner App > Profile > Privacy > Privacy Screen,Should-have,Block screenshots and screen recording.
Profile,How to view your parent / guardian details,Learner App > Profile > Family,Nice-to-have,Manage parent / guardian contact info.
Profile,How to add additional contact info,Learner App > Profile > Contact,Should-have,Add backup phone / email.
Notifications,How to view your notifications,Learner App > Notifications,Must-have,See system / course / payment / message alerts.
Notifications,How to mark notifications as read,Learner App > Notifications > Mark Read,Should-have,Clear out the unread queue.
Notifications,How to filter notifications by type,Learner App > Notifications > Filter,Should-have,Show only payment / message / class alerts.
Files,How to access your files,Learner App > My Files,Should-have,Open files shared by your institute or saved by you.
Files,How to organize your files into folders,Learner App > My Files > Folders,Should-have,Create folders to keep materials tidy.
Files,How to download a shared file,Learner App > My Files > [File] > Download,Should-have,Save a shared file to your device.
Reports,How to view your performance report,Learner App > My Reports,Should-have,See progress / scores / attendance over time.
Reports,How to share a report with your parent,Learner App > My Reports > Share,Should-have,Send a snapshot to a parent or guardian.
Reports,How to view subject-wise insights,Learner App > My Reports > Subjects,Should-have,Drill into how you are doing in each subject.
Reports,How to view your test rank in the cohort,Learner App > My Reports > Rank,Nice-to-have,Compare your performance with peers anonymously.
Membership,How to view your active membership,Learner App > Profile > Membership,Should-have,See your subscription plan and renewal date.
Membership,How to renew or upgrade your plan,Learner App > Profile > Membership > Upgrade,Should-have,Move to a higher tier or extend your current plan.
Membership,How to cancel your subscription,Learner App > Profile > Membership > Cancel,Should-have,End your active subscription.
Certificates,How to download your certificate,Learner App > My Certificates > [Certificate] > Download,Should-have,Save and share your completion certificates.
Certificates,How to share a certificate to LinkedIn,Learner App > My Certificates > [Certificate] > Share,Nice-to-have,Post your achievement on LinkedIn.
Community,How to join a discussion thread,Learner App > Community > [Thread] > Join,Nice-to-have,Participate in cohort discussions.
Community,How to follow other learners,Learner App > Community > Profile > Follow,Nice-to-have,Build a learning network inside your cohort.
Community,How to ask a question in the community,Learner App > Community > New Question,Nice-to-have,Post a question to peers.
Mobile App,How to update the app over the air,Learner App > Settings > About > Check for Updates,Should-have,Pull the latest version without going to the store.
Mobile App,How to enable dark mode,Learner App > Profile > Appearance > Dark Mode,Nice-to-have,Switch to dark theme.
Mobile App,How to clear app cache,Learner App > Settings > Storage > Clear Cache,Nice-to-have,Free up space on your device.
Mobile App,How to submit feedback / report a bug,Learner App > Profile > Help > Report,Nice-to-have,Send feedback or report issues.
Help & Support,How to contact your institute,Learner App > Help > Contact Institute,Must-have,Reach your institute admin team for support.
Help & Support,How to view FAQs,Learner App > Help > FAQ,Should-have,Browse the help center for common questions.
