Module,Video Title,Navigation Flow,Priority,Description
Settings - Communication,How to set up an SMS provider,Settings > SMS Settings,Should-have,Connect an SMS gateway.
Settings - Communication,How to test your email setup,Settings > Email Settings > Test Send,Should-have,Send a test email to verify your configuration.
Settings - Telephony,How to connect Exotel,Settings > Telephony > Exotel,Must-have,Connect Exotel for click-to-call and recording.
Settings - Telephony,How to configure inbound call routing,Settings > Telephony > Inbound Routing,Should-have,Decide what happens when leads call your business number.
Settings - Telephony,How to set up IVR,Settings > Telephony > IVR,Should-have,Build a press-1-press-2 menu for incoming calls.
Settings - Telephony,How to enable call recording,Settings > Telephony > Recording,Should-have,Auto-record calls for quality and training.
Settings - Telephony,How to set up voicemail fallback,Settings > Telephony > Voicemail,Nice-to-have,Route unanswered calls to a voicemail.
Settings - Live Sessions,How to connect Zoom OAuth,Settings > Integrations > Zoom,Must-have,Authorize Zoom so live sessions can be created with your account.
Settings - Live Sessions,How to set up BigBlueButton,Settings > Integrations > BigBlueButton,Should-have,Use the built-in BBB stack for live classes.
Settings - Live Sessions,How to auto-sync Zoom recordings,Settings > Integrations > Zoom > Recording Sync,Should-have,Pull Zoom recordings into the platform automatically.
Settings - Live Sessions,How to auto-sync Zoom attendance,Settings > Integrations > Zoom > Attendance Sync,Should-have,Capture Zoom attendance automatically.
Settings - Ad Platforms,How to connect Facebook Lead Ads,Settings > Integrations > Meta Lead Ads,Must-have,Auto-import leads from Facebook / Instagram lead forms.
Settings - Ad Platforms,How to set up a form webhook,Settings > Integrations > Webhooks > Form,Should-have,Push leads from any web form into the platform.
Settings - Ad Platforms,How to set up an ad-platform webhook,Settings > Integrations > Webhooks > Ad Platform,Should-have,Connect a third-party ad source via webhook.
Settings - AI,How to configure AI settings,Settings > AI Settings,Must-have,Pick default AI provider / model / behaviour.
Settings - AI,How to bring your own model keys (BYOK),Settings > AI Settings > BYOK,Should-have,Use your own OpenAI / Anthropic / Gemini key to skip Vacademy credits.
Settings - AI,How to monitor AI credit usage,Settings > AI Credits,Must-have,Track how many credits each feature is consuming.
Settings - AI,How to top up AI credits,Settings > AI Credits > Buy Credits,Should-have,Purchase additional Vacademy AI credits.
Settings - Lead Configuration,How to set up custom lead statuses,Settings > Leads > Statuses,Must-have,Define your own lead pipeline stages.
Settings - Lead Configuration,How to define lead status transitions,Settings > Leads > Statuses > Transitions,Should-have,Control which stages can move to which.
Settings - Lead Configuration,How to set up lead tiers (HOT / WARM / COLD),Settings > Leads > Tiers,Must-have,Tag leads by intent strength.
Settings - Lead Configuration,How to configure lead scoring rules,Settings > Leads > Scoring,Must-have,Auto-score leads based on signals.
Settings - Lead Configuration,How to set up Lead SLA,Settings > Leads > SLA,Must-have,Define how quickly leads must be contacted.
Settings - Lead Configuration,How to configure SLA reminder windows,Settings > Leads > SLA > Reminder Windows,Should-have,Set how many escalations and at what intervals.
Settings - Counsellor Pools,How to create a counsellor pool,Settings > Leads > Pools > Create Pool,Must-have,Group counsellors so leads route across the team.
Settings - Counsellor Pools,How to add counsellors to a pool,Settings > Leads > Pools > [Pool] > Members,Must-have,Pick which team members belong to a pool.
Settings - Counsellor Pools,How to set up round-robin distribution,Settings > Leads > Pools > [Pool] > Round Robin,Must-have,Auto-rotate new leads across the pool fairly.
Settings - Counsellor Pools,How to set up sticky-per-lead assignment,Settings > Leads > Pools > [Pool] > Sticky,Should-have,Keep the same counsellor for the same lead.
Settings - Counsellor Pools,How to set up region-based routing,Settings > Leads > Pools > [Pool] > Region,Should-have,Route leads based on lead's region.
Settings - Counsellor Pools,How to configure pool working hours / shifts,Settings > Leads > Pools > [Pool] > Schedule,Should-have,Restrict assignment to active counsellors only.
Settings - Counsellor Pools,How to bulk re-assign leads when a counsellor goes inactive,Settings > Leads > Pools > Bulk Reassign,Should-have,Redistribute leads when someone leaves the team.
Settings - Memberships,How to create a membership plan,Settings > Memberships > Create Plan,Should-have,Define a subscription with billing cycle.
Settings - Memberships,How to set a membership price,Settings > Memberships > [Plan] > Pricing,Should-have,Configure recurring price and currency.
Settings - Coupons,How to create a coupon code,Settings > Coupons > Create Coupon,Must-have,Issue a discount code.
Settings - Coupons,How to set coupon expiry and usage limits,Settings > Coupons > [Coupon] > Rules,Should-have,Cap how many times the code can be used.
Settings - Certificates,How to design a certificate template,Settings > Certificates > Create Template,Should-have,Use the visual editor to design completion certificates.
Settings - Certificates,How to auto-issue certificates on course completion,Settings > Certificates > Auto-Issue,Should-have,Mint certificates automatically when learners complete a course.
Settings - Referral,How to set up a referral program,Settings > Referral,Should-have,Reward learners for bringing in friends.
Settings - Referral,How to set referral rewards,Settings > Referral > Rewards,Should-have,Define cash / credit / discount on a successful referral.
Settings - Sub-Org,How to create a sub-organization,Settings > Sub-Org > Create,Should-have,Add a child branch under the main institute.
Settings - Sub-Org,How to add admins to a sub-org,Settings > Sub-Org > [Sub-Org] > Members,Should-have,Give sub-org admins their own scope.
Settings - Sub-Org,How to switch between sub-organizations,Dashboard > Org Switcher,Should-have,Move between sub-orgs from the top bar.
Settings - Activity Logs,How to view admin activity logs,Admin Activity Logs,Must-have,Full audit trail of admin actions.
Settings - Activity Logs,How to filter activity logs by user,Admin Activity Logs > Filters > User,Should-have,Drill into one team member's actions.
Settings - Activity Logs,How to set log retention policy,Settings > Activity Logs > Retention,Nice-to-have,Configure how long audit trails are kept.
LMS - Course Setup,How to create a course,Courses > Create Course,Must-have,Set up a new course with name / description / category.
LMS - Course Setup,How to set a course thumbnail,Courses > [Course] > Settings > Thumbnail,Should-have,Upload a cover image for the course card.
LMS - Course Setup,How to set course pricing,Courses > [Course] > Pricing,Must-have,Configure the price and payment plan.
LMS - Course Setup,How to add course prerequisites,Courses > [Course] > Prerequisites,Should-have,Require learners to complete other courses first.
LMS - Course Setup,How to add course faculty,Courses > [Course] > Faculty,Should-have,Tag instructors that teach this course.
LMS - Course Setup,How to publish or unpublish a course,Courses > [Course] > Publish,Must-have,Toggle whether learners can see this course.
LMS - Course Setup,How to clone a course,Courses > [Course] > Clone,Should-have,Duplicate a course for a new batch.
LMS - Course Setup,How to archive a course,Courses > [Course] > Archive,Nice-to-have,Hide an old course without deleting it.
LMS - Course Setup,How to create a course bundle,Courses > Bundles > Create Bundle,Should-have,Sell multiple courses together as one offering.
LMS - Course Setup,How to create a level,Courses > [Course] > Create Level,Must-have,Add a level (e.g. Beginner / Advanced).
LMS - Course Setup,How to create a session,Courses > [Course] > [Level] > Create Session,Must-have,Create a session (May 2026 batch) inside a level.
LMS - Course Setup,How to add a subject,Courses > [Session] > Add Subject,Must-have,Add a subject inside a session.
LMS - Course Setup,How to add a module,Courses > [Subject] > Add Module,Must-have,Break a subject into modules.
LMS - Course Setup,How to add a chapter,Courses > [Module] > Add Chapter,Must-have,Add chapters inside a module.
LMS - Course Setup,How to reorder modules and chapters,Courses > [Subject] > Reorder,Should-have,Drag-and-drop to change the structure.
LMS - Course Setup,How to set drip conditions on chapters,Courses > [Course] > Drip Conditions,Should-have,Unlock chapters based on time or completion.
LMS - Course Setup,How to set time-based chapter unlock,Courses > [Course] > Drip > Time,Should-have,Release chapters on a fixed schedule.
LMS - Content,How to add a PDF slide,Courses > [Chapter] > Add Slide > PDF,Must-have,Upload a PDF as a slide.
LMS - Content,How to add a video slide,Courses > [Chapter] > Add Slide > Video,Must-have,Upload or link a video lecture as a slide.
LMS - Content,How to add a document slide,Courses > [Chapter] > Add Slide > Document,Should-have,Add a doc / spreadsheet / presentation as a slide.
LMS - Content,How to add a quiz slide,Courses > [Chapter] > Add Slide > Quiz,Must-have,Insert a quick quiz inline within course flow.
LMS - Content,How to add a coding question slide,Courses > [Chapter] > Add Slide > Coding,Should-have,Add a coding problem that learners can run and submit.
LMS - Content,How to add a presentation slide,Courses > [Chapter] > Add Slide > Presentation,Should-have,Use slides as in-class presentations.
LMS - Content,How to upload supplementary materials,Courses > [Chapter] > Materials,Should-have,Attach extra resources to a chapter.
LMS - Content,How to reorder slides within a chapter,Courses > [Chapter] > Reorder Slides,Should-have,Change the order learners see slides.
LMS - Content,How to preview a slide as a learner,Courses > [Slide] > Preview,Nice-to-have,See what the learner sees.
LMS - Live Sessions,How to schedule a live session,Live Sessions > Create Session,Must-have,Pick date / time / provider for a live class.
LMS - Live Sessions,How to create a recurring live session,Live Sessions > Create > Recurring,Should-have,Set a weekly / daily repeat.
LMS - Live Sessions,How to enable session recording,Live Sessions > [Session] > Recording,Should-have,Auto-record sessions to the learner library.
LMS - Live Sessions,How to track session attendance,Live Sessions > [Session] > Attendance,Must-have,View who joined / left and total watch time.
LMS - Live Sessions,How to send pre-session reminders,Live Sessions > [Session] > Reminders,Should-have,Trigger WhatsApp / email reminders before the session starts.
LMS - Live Sessions,How to let learners book a session slot,Live Sessions > Booking,Should-have,Open self-service slot booking to learners.
LMS - Question Bank,How to add a question to the question bank,Question Bank > Add Question,Must-have,Save a question for reuse across assessments.
LMS - Question Bank,How to import questions from a file,Question Bank > Import,Must-have,Bulk add questions from CSV / Word / PDF.
LMS - Question Bank,How to tag a question by topic,Question Bank > [Question] > Tags,Should-have,Categorise questions for easy lookup.
LMS - Question Bank,How to set question difficulty,Question Bank > [Question] > Difficulty,Should-have,Mark questions easy / medium / hard.
LMS - Question Bank,How to organise questions into sections,Question Bank > Sections,Should-have,Group questions by section for sectioned assessments.
LMS - Question Bank,How to search the question bank,Question Bank > Search,Must-have,Find a question quickly by content / tag / type.
LMS - Question Bank,How to archive a question,Question Bank > [Question] > Archive,Nice-to-have,Retire old questions without deleting them.
LMS - Assessments,How to create an assessment,Assessments > Create Assessment,Must-have,Set up a new assessment with name / type / instructions.
LMS - Assessments,How to add questions manually,Assessments > [Assessment] > Add Question,Must-have,Add MCQ / subjective / numerical / coding questions.
LMS - Assessments,How to import questions from question bank,Assessments > [Assessment] > Import from Bank,Must-have,Reuse questions from your saved bank.
LMS - Assessments,How to generate questions from a topic with AI,AI Center > VSmart > Topic Questions,Should-have,Auto-generate a question set from a topic prompt.
LMS - Assessments,How to upload questions from a document,AI Center > VSmart > Extract,Should-have,Let AI extract questions from a PDF.
LMS - Assessments,How to set assessment duration,Assessments > [Assessment] > Duration,Must-have,Configure the time limit for an attempt.
LMS - Assessments,How to set assessment instructions,Assessments > [Assessment] > Instructions,Should-have,Tell learners how to attempt the assessment.
LMS - Assessments,How to enable negative marking,Assessments > [Assessment] > Negative Marking,Should-have,Deduct marks for wrong answers.
LMS - Assessments,How to assign assessment to a batch,Assessments > [Assessment] > Assign,Must-have,Choose which course / batch sees the assessment.
LMS - Assessments,How to enable proctoring,Assessments > [Assessment] > Proctoring,Must-have,Turn on camera / fullscreen / anti-cheating signals.
LMS - Assessments,How to schedule an assessment window,Assessments > [Assessment] > Schedule,Must-have,Set the live window during which learners can attempt.
LMS - Assessments,How to create a sectioned assessment,Assessments > Create > Sections,Should-have,Build an assessment with multiple sections.
LMS - Assessments,How to create a practice test,Assessments > Create > Practice,Should-have,Offer a no-stakes practice attempt.
LMS - Assessments,How to create a mock test,Assessments > Create > Mock,Should-have,Simulate the real assessment under timed conditions.
LMS - Assessments,How to create a homework assignment,Assessments > Create > Homework,Should-have,Set out-of-class assignments.
LMS - Assessments,How to bulk import assessments,Assessments > Bulk Import,Nice-to-have,Bulk create many assessments at once.
LMS - Assessments,How to clone an assessment,Assessments > [Assessment] > Clone,Should-have,Duplicate an assessment to reuse the structure.
LMS - Grading,How to grade subjective answers,Assessments > [Assessment] > Grade,Must-have,Score open-ended answers by hand.
LMS - Grading,How to use AI to evaluate handwritten papers,AI Center > VSmart > Feedback,Should-have,Scan handwritten answer sheets and let AI grade them.
LMS - Grading,How to view assessment results,Assessments > [Assessment] > Results,Must-have,See the score table for all attempts.
LMS - Grading,How to publish results to learners,Assessments > [Assessment] > Publish Results,Must-have,Control when scores become visible.
LMS - Grading,How to handle re-evaluation requests,Assessments > [Assessment] > Re-eval Requests,Should-have,Process learner requests for re-grading.
LMS - Grading,How to view individual response analysis,Assessments > [Assessment] > [Learner] > Responses,Must-have,Drill into one learner's answers.
LMS - Grading,How to export all responses to CSV,Assessments > [Assessment] > Export Responses,Should-have,Download response data for offline analysis.
LMS - Analytics,How to view assessment analytics,Assessments > [Assessment] > Analytics,Must-have,Question-wise difficulty / score distribution / attempt rate.
LMS - Analytics,How to view question-wise insights,Assessments > [Assessment] > Insights,Should-have,Identify which questions need rework.
LMS - Analytics,How to view learner insights,Learner Insights,Must-have,See progress / engagement / risk across all learners.
LMS - Analytics,How to generate a learner analysis report,Learner Insights > Generate Report,Should-have,Deep-dive AI analysis on one learner.
LMS - Analytics,How to view course completion analytics,Learner Insights > Course Reports,Should-have,Track how many learners finish each course.
LMS - Analytics,How to view batch performance,Learner Insights > Batch Analytics,Should-have,Compare performance across batches.
LMS - Analytics,How to view cohort comparison,Learner Insights > Cohort Compare,Nice-to-have,Compare two cohorts side by side.
LMS - Materials,How to upload learning materials,Manage Content > Upload,Must-have,Add a learning resource to a folder.
LMS - Materials,How to organise materials in folders,Manage Content > Folders,Should-have,Create / move / nest folders for materials.
LMS - Materials,How to share materials with a course,Manage Content > [File] > Share,Should-have,Make a file available inside a course.
LMS - Materials,How to bulk upload files,Manage Content > Bulk Upload,Should-have,Drag-and-drop multiple files at once.
LMS - Doubts,How to view all student doubts,Doubts,Must-have,See open questions across courses.
LMS - Doubts,How to assign a doubt to an instructor,Doubts > [Doubt] > Assign,Must-have,Route a doubt to the right teacher.
LMS - Doubts,How to reply to a doubt,Doubts > [Doubt] > Reply,Must-have,Send a written / video / audio response.
LMS - Doubts,How to attach files to a doubt reply,Doubts > [Doubt] > Reply > Attach,Should-have,Include a PDF / image / diagram in your reply.
LMS - Doubts,How to set SLA for doubt resolution,Settings > Doubts > SLA,Should-have,Define max response time.
LMS - Doubts,How to mark doubts as resolved,Doubts > [Doubt] > Resolve,Must-have,Close out a doubt thread.
LMS - Doubts,How to view doubt analytics,Doubts > Analytics,Nice-to-have,See average response time / counts per instructor.
LMS - Coding,How to set up Judge0 for code execution,Settings > Integrations > Judge0,Should-have,Connect Judge0 so coding submissions can run.
LMS - Coding,How to create a coding question,Question Bank > Coding > Add,Should-have,Author a coding problem.
LMS - Coding,How to add test cases to a coding question,Question Bank > Coding > [Question] > Test Cases,Should-have,Define what passing looks like.
LMS - Coding,How to add starter code,Question Bank > Coding > [Question] > Starter Code,Should-have,Give learners a scaffold to start from.
LMS - Coding,How to set time and memory limits,Question Bank > Coding > [Question] > Limits,Should-have,Constrain how much compute a submission can use.
LMS - Coding,How to view coding submissions,Assessments > [Assessment] > Submissions > Coding,Should-have,Inspect a learner's code and run output.
LMS - Certificates,How to issue a certificate to a learner,Manage Learners > [Learner] > Certificates > Issue,Should-have,Hand out a one-off certificate.
LMS - Certificates,How to bulk issue certificates,Manage Learners > Certificates > Bulk Issue,Nice-to-have,Issue certificates to a whole batch at once.
AI Tools - VSmart,How to create a question paper from a document,AI Center > VSmart > Question Paper,Must-have,Upload a chapter and get a question paper.
AI Tools - VSmart,How to digitise a scanned question paper,AI Center > VSmart > Paper Digitiser,Must-have,Convert a scanned paper into editable digital questions.
AI Tools - VSmart,How to organise your question bank with AI,AI Center > VSmart > Bank Organiser,Should-have,Auto-tag and categorise questions by topic and difficulty.
AI Tools - VSmart,How to generate questions from a topic,AI Center > VSmart > Topic Questions,Must-have,Type a topic and get questions.
AI Tools - VSmart,How to use the AI Lesson Planner,AI Center > VSmart > Lesson Planner,Should-have,Generate a structured lesson plan from a topic.
AI Tools - VSmart,How to use the AI Lecture Coach,AI Center > VSmart > Lecture Coach,Nice-to-have,Get AI feedback on a recorded lecture.
AI Tools - VSmart,How to use the AI Course Creator,AI Center > VSmart > Course Creator,Should-have,Describe a course and AI builds the full outline.
AI Tools - VSmart,How to use VSmart Chat,AI Center > VSmart > Chat,Should-have,Have a conversation with AI about your content.
AI Tools - VSmart,How to use VSmart Image,AI Center > VSmart > Image,Nice-to-have,AI image processing tool.
AI Tools - VSmart,How to use VSmart Audio,AI Center > VSmart > Audio,Nice-to-have,AI audio processing / speech-to-text.
AI Tools - VSmart,How to use VSmart Prompt for custom AI tasks,AI Center > VSmart > Prompt,Nice-to-have,Run a custom prompt against your data.
AI Tools - VSmart,How to use VSmart Sorter,AI Center > VSmart > Sorter,Nice-to-have,Auto-sort questions by topic and taxonomy.
AI Tools - VSmart,How to use VSmart Extract,AI Center > VSmart > Extract,Should-have,Extract questions / content from any document.
AI Tools - VSmart,How to use VSmart Feedback for evaluation,AI Center > VSmart > Feedback,Must-have,Evaluate answer sheets with AI.
AI Tools - Vimotion,How to create a video from a prompt,Vimotion > Create > Prompt,Should-have,Type a topic and get an AI-narrated video.
AI Tools - Vimotion,How to create a video from a slide deck,Vimotion > Create > Deck,Should-have,Upload slides and get a narrated explainer video.
AI Tools - Vimotion,How to edit a Vimotion video,Vimotion > [Video] > Editor,Should-have,Adjust captions / voiceover / scenes.
AI Tools - Vimotion,How to set up a brand kit for videos,Vimotion > Brand Kits,Should-have,Apply your brand fonts / colors to all videos.
AI Tools - Vimotion,How to generate API keys for Vimotion,Vimotion > API Keys,Nice-to-have,Generate videos programmatically.
AI Tools - Vimotion,How to embed a Vimotion video in a course,Courses > [Chapter] > Add Slide > Vimotion,Should-have,Insert an AI video into your course content.
AI Tools - Instructor Copilot,How to start an Instructor Copilot session,Instructor Copilot > Start Session,Should-have,Record a live lecture for AI processing.
AI Tools - Instructor Copilot,How to generate notes from a lecture,Instructor Copilot > [Session] > Notes,Should-have,Auto-produce lecture notes.
AI Tools - Instructor Copilot,How to generate a quiz from a lecture,Instructor Copilot > [Session] > Quiz,Should-have,Auto-produce a quick quiz from what was taught.
AI Tools - Instructor Copilot,How to generate homework from a lecture,Instructor Copilot > [Session] > Homework,Should-have,Auto-produce an out-of-class assignment.
CRM - Lead Capture,How to create an audience form,Audience Manager > Create Form,Must-have,Build a custom lead-capture form.
CRM - Lead Capture,How to add fields to a form,Audience Manager > [Form] > Fields,Must-have,Configure what info you collect.
CRM - Lead Capture,How to add custom fields to a form,Audience Manager > [Form] > Custom Fields,Should-have,Use institute-specific fields on a form.
CRM - Lead Capture,How to embed a form on your website,Audience Manager > [Form] > Embed,Must-have,Get a snippet to paste on any web page.
CRM - Lead Capture,How to share a form via link,Audience Manager > [Form] > Share Link,Must-have,Send a one-tap link by WhatsApp / email.
CRM - Lead Capture,How to set form thank-you page,Audience Manager > [Form] > Thank You,Should-have,Customize what learners see after submitting.
CRM - Lead Capture,How to clone an audience form,Audience Manager > [Form] > Clone,Should-have,Duplicate a form to reuse it.
CRM - Lead Capture,How to set up form webhooks,Audience Manager > [Form] > Webhooks,Should-have,Push form submissions to an external system.
CRM - Lead Capture,How to create a lead-capture campaign,Audience Manager > Campaigns > Create,Must-have,Group leads under a tracked campaign.
CRM - Lead Capture,How to import leads from CSV,Audience Manager > Bulk Import,Must-have,Upload a spreadsheet of leads.
CRM - Lead Management,How to view recent leads,Audience Manager > Recent Leads,Must-have,See the newest leads across all campaigns.
CRM - Lead Management,How to filter and search leads,Audience Manager > Filters,Must-have,Slice leads by source / tier / score / counsellor.
CRM - Lead Management,How to open a lead's full profile,Audience Manager > [Lead] > Open Profile,Must-have,See the 17-tab side drawer.
CRM - Lead Management,How to expand to the full-screen profile overlay,Audience Manager > [Lead] > Expand,Should-have,Launch the 90vw lead overlay.
CRM - Lead Management,How to edit lead details,Audience Manager > [Lead] > Edit,Must-have,Update name / contact / address / custom fields.
CRM - Lead Management,How to merge duplicate leads,Audience Manager > [Lead] > Merge Duplicate,Should-have,Combine duplicate records.
CRM - Lead Management,How to mark a lead as Lost,Audience Manager > [Lead] > Status > Lost,Must-have,Close out a lead that won't convert.
CRM - Lead Management,How to mark a lead as Converted,Audience Manager > [Lead] > Status > Convert,Must-have,Move a converted lead into a learner record.
CRM - Lead Management,How to opt out a lead from communications,Audience Manager > [Lead] > Opt-out,Should-have,Honor unsubscribe preferences.
CRM - Lead Management,How to view a lead's activity timeline,Audience Manager > [Lead] > Activity Timeline,Must-have,See every touchpoint in chronological order.
CRM - Lead Management,How to add a note to a lead,Audience Manager > [Lead] > Activity > Add Note,Must-have,Log call summary / meeting outcome.
CRM - Lead Management,How to bulk update lead status,Audience Manager > Bulk > Update Status,Should-have,Mark many leads at once.
CRM - Lead Management,How to export leads to CSV,Audience Manager > Export,Should-have,Download leads for offline analysis.
CRM - Lead Management,How to view a lead's score history,Audience Manager > [Lead] > Score History,Should-have,Track how a lead's score has evolved.
CRM - Follow-ups,How to schedule a follow-up,Audience Manager > [Lead] > Follow-ups > Add,Must-have,Set a reminder to call / message a lead later.
CRM - Follow-ups,How to view all pending follow-ups,Audience Manager > Follow-ups,Must-have,Manage your daily follow-up workload.
CRM - Follow-ups,How to close a follow-up,Audience Manager > [Lead] > Follow-ups > Close,Must-have,Mark a follow-up done.
CRM - Follow-ups,How to view SLA breach reports,Audience Manager > Reports > SLA,Should-have,Identify leads with overdue follow-ups.
CRM - Counsellor Assignment,How to assign a lead to yourself or a teammate,Audience Manager > [Lead] > Assign Counsellor,Must-have,Take ownership or hand off a lead.
CRM - Counsellor Assignment,How to re-assign a lead's counsellor,Audience Manager > [Lead] > Assign Counsellor > Change,Should-have,Move a lead to a different counsellor.
CRM - Communication,How to send an email to a lead,Audience Manager > [Lead] > Send Email,Must-have,Compose and send a one-off email.
CRM - Communication,How to send a WhatsApp to a lead,Audience Manager > [Lead] > Send WhatsApp,Must-have,Send via a Meta-approved WhatsApp template.
CRM - Communication,How to send an SMS to a lead,Audience Manager > [Lead] > Send SMS,Should-have,Send a single-channel SMS.
CRM - Communication,How to create an email template,Settings > Templates > Email > Create,Must-have,Save reusable email designs with merge fields.
CRM - Communication,How to create a WhatsApp template,Settings > WhatsApp > Templates > Create,Must-have,Author and submit a Meta-approved WhatsApp template.
CRM - Communication,How to view email open and click rates,Audience Manager > Reports > Email,Should-have,Track inbox performance.
CRM - Communication,How to view bounced emails,Reports > Email > Bounces,Should-have,Manage your sender reputation.
CRM - Communication,How to access the WhatsApp inbox,Communication > WhatsApp Inbox,Must-have,Reply to live WhatsApp conversations.
CRM - Communication,How to handle a live WhatsApp conversation,Communication > WhatsApp Inbox > [Conversation],Must-have,Two-way chat with a lead in WhatsApp.
CRM - Communication,How to broadcast a message to a segment,Communication > Broadcast > Create,Should-have,Send the same message to many leads.
CRM - Telephony,How to make a click-to-call,Audience Manager > [Lead] > Call,Must-have,Trigger an Exotel call to a lead.
CRM - Telephony,How to view call logs,Communication > Call Logs,Must-have,See every call attempted / completed.
CRM - Telephony,How to listen to a recorded call,Communication > Call Logs > [Call] > Play,Must-have,Play back a recorded conversation.
CRM - Telephony,How to handle inbound calls,Communication > Inbound Calls,Should-have,Manage incoming calls routed to your team.
CRM - Telephony,How to view talk-time analytics,Communication > Calls > Analytics,Should-have,Monitor productive call time across the team.
CRM - Workflows,How to create a workflow,Workflow > Create Workflow,Must-have,Build a multi-step automation in the visual editor.
CRM - Workflows,How to choose a trigger,Workflow > [Workflow] > Trigger,Must-have,Pick what event starts the workflow.
CRM - Workflows,How to add a Send Email node,Workflow > [Workflow] > Add Node > Send Email,Must-have,Send an automated email.
CRM - Workflows,How to add a Send WhatsApp node,Workflow > [Workflow] > Add Node > Send WhatsApp,Must-have,Send an automated WhatsApp.
CRM - Workflows,How to add a Wait / Delay node,Workflow > [Workflow] > Add Node > Wait,Must-have,Pause the workflow for hours / days.
